state,p_decisive_vote,p_decisive_vote_label,p_tipping_point,dem_margin,dem_margin_low,dem_margin_high,dem_win_prob,dem_margin_2016
PA,1.5433193511358718e-7,1 in 6 million,0.275875,5,-3,14,88,-0.8
WI,1.482335256300123e-7,1 in 7 million,0.111875,6,-3,15,91,-0.8
NH,1.2456685207882568e-7,1 in 8 million,0.02915,7,-2,16,94,0.4
MI,1.1766245314382766e-7,1 in 8 million,0.13505,6,-2,15,93,-0.2
NV,1.0170196442223847e-7,1 in 10 million,0.027875,6,-3,15,90,2.6
MN,7.272203296715746e-8,1 in 14 million,0.053900000000000003,8,-1,16,95,1.7
AZ,6.605350250960563e-8,1 in 15 million,0.04635,2,-7,11,65,-3.8
FL,5.750730037432847e-8,1 in 17 million,0.1417,3,-6,12,74,-1.2
NC,4.513065067070306e-8,1 in 22 million,0.053900000000000003,2,-7,11,66,-3.8
NM,3.4595753968965284e-8,1 in 29 million,0.02125,13,3,22,99,9.3
GA,3.376378515348609e-8,1 in 30 million,0.029175,-1,-10,8,44,-5.3
ME,2.4926981477886237e-8,1 in 40 million,0.001525,12,2,20,99,3.2
VA,2.134229752489782e-8,1 in 47 million,0.0197,11,1,20,99,5.7
TX,2.1035831290309574e-8,1 in 48 million,0.0331,-3,-12,6,28,-9.4
IA,1.232003319315814e-8,1 in 81 million,0.003025,-1,-10,7,38,-10.1
AK,1.2231777175835285e-8,1 in 82 million,1.5e-4,-7,-17,3,7,-16.8
CO,1.1461348581169261e-8,1 in 87 million,0.013625,11,2,20,99,5.4
OH,7.072735061207232e-9,1 in 141 million,7.5e-4,-2,-11,6,30,-8.5
IL,3.921620364614473e-9,1 in 255 million,0.0013,18,7,28,100,18
RI,3.1148317894495473e-9,1 in 321 million,0,22,12,32,100,16.6
NJ,2.439003771227783e-9,1 in 410 million,6.5e-4,19,9,28,100,14.6
OR,1.9677025585988214e-9,1 in 508 million,0,17,8,26,100,12.3
MS,1.7744587143271726e-9,1 in 564 million,2.5e-5,-12,-21,-2,1,-18.2
CT,1.773008518457178e-9,1 in 564 million,2.5e-5,21,11,30,100,14.3
SC,1.1874780754943762e-9,1 in 842 million,2.5e-5,-9,-18,0,3,-14.9
MT,1.170847879608458e-9,1 in 854 million,0,-11,-20,-2,1,-22.2
DE,1.1023513438227718e-9,1 in 907 million,0,20,11,30,100,12
LA,6.515811494096553e-10,1 in 2 billion,0,-13,-23,-4,0,-20.3
MO,6.211508460115816e-10,1 in 2 billion,0,-9,-18,-0,2,-19.6
KS,5.599626444964722e-10,1 in 2 billion,0,-12,-21,-4,0,-22.2
WA,5.030115371759254e-10,1 in 2 billion,0,23,14,31,100,17.6
NY,3.7481890043221455e-10,1 in 3 billion,0,28,19,37,100,23.5
HI,2.9810374261877115e-10,1 in 3 billion,0,37,28,46,100,34.9
SD,2.971355382467743e-10,1 in 3 billion,0,-21,-30,-11,0,-31.9
AR,2.522112518453082e-10,1 in 4 billion,0,-19,-29,-9,0,-28.6
NE,2.456801785661053e-10,1 in 4 billion,0,-18,-28,-8,0,-27.1
MD,2.3318408195394427e-10,1 in 4 billion,0,32,23,41,100,28
UT,2.306243155437503e-10,1 in 4 billion,0,-20,-29,-11,0,-24.8
IN,2.0557385169338461e-10,1 in 5 billion,0,-15,-24,-6,0,-20.2
TN,1.9545541352801792e-10,1 in 5 billion,0,-17,-27,-8,0,-27.2
AL,1.5307973264059281e-10,1 in 7 billion,0,-19,-28,-10,0,-28.7
CA,1.3806612980435702e-10,1 in 7 billion,0,34,25,42,100,32.3
ND,1.1370155011606648e-10,1 in 9 billion,0,-26,-35,-17,0,-39.6
MA,1.1087649962651867e-10,1 in 9 billion,0,33,24,42,100,29.3
VT,1.0768773847179684e-10,1 in 9 billion,0,34,25,43,100,30.4
KY,4.731119096428396e-11,1 in 21 billion,0,-21,-30,-13,0,-31.3
OK,4.2674867965044574e-11,1 in 23 billion,0,-27,-36,-18,0,-38.6
ID,3.6935263837893664e-11,1 in 27 billion,0,-27,-36,-17,0,-36.6
WV,1.988136912237945e-11,1 in 50 billion,0,-30,-38,-21,0,-44.3
WY,1.7246494914187974e-11,1 in 58 billion,0,-40,-49,-32,0,-51.4
DC,9.53924905367309e-15,1 in 105 trillion,0,91,88,93,100,91.4
